"title","url","image","openTypeList","detail","baseInfoKeyList","baseInfoValueList"
"冀香糯1号","http://www.baike.com/wiki/冀香糯1号","http://a4.att.hudong.com/87/06/20300543526108144636060022320_s.gif","农业##植物","冀香糯1号，株高111cm，分蘖力强，穗长18.6cm，每穗粒数150.4个，结实率83%，千粒重29.9 g。生育期169天左右。2008年农业部谷物品质监督检验测试中心检测，籽粒粗蛋白9.83%，糙米率82.5%，精米率74.3%，整精米率38%，胶稠度99mm，碱消值6，长宽比2.0。建议在河北省秦皇岛、唐山市稻区作糯性专用品种种植。","",""
"不修棉","http://www.baike.com/wiki/不修棉","http://www.huimg.cn/entry/images/summary_default270x233.png","农业##棉花##科技","不修棉的优点/不修棉 编辑 			 		　　“不修棉” 是在近年来随着农村劳动力转移、青壮年外出打工的新形势下的一种省工、省力、省药、省肥的高产高效种棉新模式。在品种配套、技术配套、化控配套的基础上，不用整枝、不用打杈的“不修棉”宽行稀植栽培，一般每亩密度1300～2000株，整个生育期间只需要“打顶” 一次即可，可以节省人工5～8个、节省农药20元以上/亩、且每亩增产50公斤以上，每亩增效可达300元以上。（据《河北科技报》、《山东科技报》、《河北农民报》和《棉花高新实用科技》、《棉花高产优质栽培技术》、《棉花节本增效种植技术》）。 “不修棉”在邱县 “不修棉”在湖北宜城 　　大量实践证实，“不修棉”是依靠3～5条叶枝而多结铃（肥力越高，叶枝也越多），单株结铃数量比传统整枝棉花多1～2倍。所以，不修棉必须要给棉株足够的生长空间，密度大约掌握在当地普通整枝品种留苗的50%左右为宜，肥力越高越要稀一些。而且各地的实际种植证明：稀植栽培除了高产、增产之外，“不修棉”好处还有“三省三少”（省工、省力、省药、病虫害少、蕾铃脱落少、黑桃子少）的优点。（据《中国棉花》杂志《谈棉花生产误区 论实现高产途径》系列报道）。《山东科技报》的记者采访报道  一亩增产200斤关键技术·顺口溜/不修棉 编辑 			 		　　种棉就种不修棉，省工省药又高产。 　　底肥共用七十斤，二铵钾肥各一半。 　　适当晚播不要早，苗齐苗壮黑桃少。 “不修棉”单行稀植的大田长势 　　一亩留苗两千棵，减半留苗是原则； 　　肥地再减五百棵，棉棵少了棉桃多。 　　苗期两叶要喷肥，十乐素配二铵水， 　　初蕾初桃这期间，蓝色晶典喷三遍， 　　座桃之后喷二铵，配上钾肥和壮汉， 　　每次打药都化控，每次喷肥不落空， 　　一份投入可收五，喷肥化控别含糊。 　　要说治虫真简单，十天半月打一遍，“不修棉”在故城 　　交替使用红与兰，细喷早治虫灭完。 　　田间追肥用尿素，一亩共用四十五， 　　初蕾之时十五斤，余下用在初花时。 　　百十斤肥九遍药，增产二百不会少。 　　要想产量再提高，请把服务站长找。 　　备注：①二铵的含量是含磷（P）46%、含氮（N）18%，总含量64%；钾肥分为“氯化钾”和“硫酸钾”，两者含钾（K）分别是60%和50%，后者适合于盐碱地使用。请注意，一定要购买真的，而且是足含量的肥料。②“减半留苗是原则”，意思是“不修棉”免整枝种植，适宜的留苗密度相当于传统整枝棉花留苗密度的一半（50%左右）即可。③“十乐素”是一种促进性营养调节剂。④“蓝色晶典”是一种多元微肥。⑤“壮汉”是一种腐植酸类高效液肥。⑥“红与兰”是“植棉科技一条龙服务” 专用产品，是“邯科140”（1+1组合），红药主要防治蚜、螨、蝽象，兼治蚜虫，蓝药主治棉铃虫、甜菜夜蛾、蝽象，兼治蚜、螨，一般两瓶农药一亩地（两种交替使用），可供棉花期间喷雾9次使用，一喷多治，低成本、高效益。⑦服务站长，由各地高科技素质的示范户经过培训后，成为当地的“不修棉一条龙服务站”站长，直接为当地棉农服务到田间地头。  不修棉省工增产的依据/不修棉 编辑 			 		依据之一：　　据国家棉花改良中心安庆分中心郑曙峰指出，“世界多数产棉国多采取稳长品种，一般不整枝”。棉花整枝是我国过去推广的一种技术措施，也并非不能改革和打破的。“不修棉”在平乡依据之二：　　促进根系发育，提高抗旱能力和抗早衰能力。据山东的实验研究结果表明，“不修棉”在吴桥“不修棉”保留叶枝可利于光合产物向根系运输，促进根系发育，明显提高棉株的抗旱、抗早衰能力。依据之三：　　通风透光性好，可以减少蕾铃脱落和减少“黑桃”。 　　蕾铃脱落为什么严重?! “黑桃子”为什么多?!除了“怨天气”和“怨雨水”的抱怨之外，棉农朋友是不是想到，棉田密度过大才是“罪魁祸首”（施肥不合理、化控不及时、虫害较重等“不修棉”2011年在东光县其它因素造成的蕾铃脱落相对来说都是次要的）。而“不修棉”的稀植栽培（留苗密度只相当于传统整枝棉花的60%～50%），良好的通风透光条件，可明显减少蕾铃脱落和后期“黑桃”，从而座桃多，棉桃大。 “不修棉”在沧州依据之四：　　叶枝结铃增多，从而是单株铃数提高1倍以上。不修棉”是依靠3～5条叶枝而多结铃（肥力越高，叶枝也越多），单株结铃数量是传统整枝棉花的1倍以上。由于“不修棉”减少40%～50%以上棉株，从而使得原本供给棉株的养分转向了棉桃，座桃多，棉桃大。所以，同样的产量的条件下，可以节省施肥；同样的的施肥条件下，可以增产20%以上。这就是“不修棉”之所以稀植又增产的原因之所在。“不修棉”的现场参观 　　为什么节省肥料或提高肥料利用率？！例如：一般地块施肥70斤，折合平米施肥量为50克，一平米留苗6棵整枝种植（传统整枝的亩密度约4000棵），平均单株吸肥量8克多；如果一平米留苗3棵“不修棉”稀植栽培（“不修棉”亩密度约2000棵），平均单株吸肥量约17克。“不修棉”在山东滨州滨城区秦皇台乡 　　从这个简单的数据列举中不难看出：整枝种植由于留苗密度过大，只会造成约1/2的肥料“供应了棉棵而不能供应棉桃”；同时，整枝费工费时，还会造成赘芽乱生，棉株相互影响、田间郁闭，如果再加上化控不合理，所以，结的棉桃又小又少。另外，长出来的枝条再掰掉不但白白消耗大量肥料，还会损伤棉株。所以，“不修棉”稀植栽培的可以调整供养棉株的养分供给棉铃，从而多结铃、结大铃，既省工省药，又提高产量。  不修棉的配套品种/不修棉 编辑 			 		　　“用事实说话，让棉农叫好”是王智广高级农技师多年来一直追求和坚守的原则。他9年来一直专心于“不修棉”的研究和推广，筛选出适宜“不修棉”种植的7个配套品种，在河北、山东、湖北、江苏、安徽等多省受到广大棉农的欢迎。2007年，邯郸市农喜植保科技公司聘请他担任科技总顾问；2010年，“不修棉”被国家工商总局商标局正式颁发“商标证书”予以保护。“不修棉”的商标保护证书2011年以来，由王智广老师主导的《不修棉一亩增产200斤示范工程》在河北、山东逐步建立“不修棉低成本高效益”样板田，带动了棉农走低消耗高产出的科技增收之路。2011年《山东科技报》连续八期刊载了王智广老师撰写的《棉花“八改”，改出亩产800斤》的系列报道！ 　　据国家棉花产业技术体系、中国农科院棉花所定期发布的《2011年全国棉花品种监测报告》统计，该年度全国种植棉花品种567个，而 “不修棉”系列品种在全国44个优势品种中，位居第26位。 而“不修棉”取得如此喜人的成绩，主要是“不修棉”系列品种可以让棉农“一年引种，连种三年”（棉农自己留种再种植2～3年），此举大大节省了棉农的开支，避免了不必要的引种风险，受到广大棉农的欢迎。 《2011年全国棉花品种监测报告》统计，该年度全国棉农自留种比例达到10.1%，比上年增加1个百分点。这就很有代表性。  不修棉关键技术细则/不修棉 编辑 			 		　　一、底肥：面积少的，可以30斤二铵+50斤氯化钾（盐碱地可以改为：100斤过磷酸钙+50硫酸钾，而且多施一些磷酸亚铁改良盐碱）。面积大的，可以15～20斤二铵+25～30斤氯化钾，以低投入获得规模效益【沙壤土质的可在现蕾期到开花期之间，结合追施氮肥而每亩补追钾肥25斤】。“不修棉”在肥乡 　　二、适当晚播：早播的出苗期长，容易造成弱苗或者缺苗。适当晚播可以快出苗、出壮苗。一般要掌握在大田平均气温稳定通过17℃为最适宜，冀中南一般在4月25日之后为佳。 　　三、密度：一般地力亩留苗2000株左右即可，不用整枝打杈，只打顶一次。产量构成：2000株×30个桃子×6克= 360公斤。留苗多了，也就桃子少了、桃子也小了。行株距配置为等行距1米，平均株距一尺（或者大行120厘米、小行距45厘米，株距40厘米）。棉田肥沃的，可以将亩密度降到1300～1500株。　 　　四、分期追施尿素：尿素用量可以在45～60斤。要在“开始现蕾时”、” “开始开花时”、“ 开始座桃时”三个时期按照“二、六、二”分期追施或者结合浇水撒施为好【面积较大的承包户，可以不追第三次】。 《棉花高新实用科技》　　五、蓝色晶典喷三次：现蕾后到花铃期，“蓝色晶典”（多元微肥）+“农喜十乐素”喷施3次，可以补充微肥，减少脱落，促进桃多桃大而增产。微肥的效果是“四两拨千斤”，重要性和氮磷钾一样（施肥最小养分律和不可替代律所决定的。） 　　六、中后期喷肥：棉花中后期喷药的时候加入1%～2%二铵水溶液+“壮汉”腐植酸液肥喷施3次。“不修棉”在广平","",""
"B6优4761号","http://www.baike.com/wiki/B6优4761号","http://www.huimg.cn/entry/images/summary_default270x233.png","农业","产品信息/B6优4761号 编辑 			 		　　编 号：滇特（红河）审稻2010011号 　　品种名称 B6优4761号 　　亲本及组合 685A/绵恢4761 　　选育单位 西南科技大学水稻研究所 　　选育完成人 谢崇华，陈永军，杨国涛，胡运高  品种来源/B6优4761号 编辑 			 		　　该品种是西南科技大学水稻研究所用自育的不育系B6A（原名685A）与自育恢复系绵恢4761组配育成。  特征特性/B6优4761号 编辑 			 		　　籼型杂交水稻。株型紧凑，叶鞘、叶耳、叶缘紫色、谷粒无芒，全生育期162天左右，比对照Ⅱ优838迟熟1天，亩有效穗数18.96万，株高113.5厘米，穗长24.4厘米，每穗总粒数164.9粒，结实率85.2%，千粒重29.0克。  品质检测/B6优4761号 编辑 			 		　　糙米率79.6%，精米率70.0%，整精米率66.5%，垩白粒率28.0%，垩白度3.4%，直链淀粉含量15.00%，胶稠度85mm，粒长7.0mm，长宽比2.9，透明度1级，碱消值4级，水分13.0%，达到国标优质米3级标准。  抗性评价/B6优4761号 编辑 			 		　　抗稻瘟病，中抗白叶枯病。  产量表现/B6优4761号 编辑 			 		　　2008- 2009年参加红河州区试。两年平均亩产729.5千克，比对照Ⅱ优838增产9.4%，增产点率100%。生产试验，平均单产739.9千克，比对照Ⅱ优838增产10.7%，增产点率100%。  适宜区域/B6优4761号 编辑 			 		　　适宜在红河州海拔1400米以下籼稻区种植。","",""
"AS2796","http://www.baike.com/wiki/AS2796","http://www.huimg.cn/entry/images/summary_default270x233.png","农业##食用菌","AS2796是我国双孢菇主栽品种之一，拥有自主知识产权。是应用酯酶同工酶为遗传标记，在高产菌株(H型)与优质菌株(G型)的同核不育株间做了380个组合的配对杂交，选出杂交种子一代(F1)W95-2等，再经单孢分离出2000多株单孢培养物，从中筛选获得高产优质的杂交种子二代(F2)菌株As2796。该菌株酯酶同工酶PAGE表型为HG4型，呈典型的杂合态。","",""
"保玉1号","http://www.baike.com/wiki/保玉1号","http://a4.att.hudong.com/53/66/20300543526108144623666913675_s.jpg","农业##植物##玉米##种子","保玉1号，由江苏保丰集团有限公司以保夏70×齐319配组，于2004年育成，属中熟半紧凑型普通玉米。夏播一般在6月中旬播种。","",""
"亳州市谯城区天意蔬菜专业合作社","http://www.baike.com/wiki/亳州市谯城区天意蔬菜专业合作社","http://www.huimg.cn/entry/images/summary_default270x233.png","农业","简介/亳州市谯城区天意蔬菜专业合作社 编辑 			 		  　　亳州市谯城区天意蔬菜专业合作社，位于谯城区西南15公里处十河镇大周村，交通便利，水土肥美。合作社以发展优质绿色蔬菜产业为主要目标，集生产、收购、初加工、储运、销售于一体，现有成员150名。 　　几年来，合作社带动本村及周边300多农户致富奔小康，从年人均2500元增长到现在的年人均6000多元，日光温室每座效益达40000元以上。  　　现拥有生产基地3000多亩，辐射和带动周边村、镇近万亩土地从事蔬菜生产，是国家级万亩无公害蔬菜生产基地。 　　2005年合作社注册了“天意”牌蔬菜商标，统一印制蔬菜包装箱，在全国数十个大中城市打响了“天意”蔬菜品牌；当年，667公顷蔬菜生产基地获得了无公害生产基地认证。2006至2008年合作社生产的黄瓜、蕃茄、苦瓜、辣椒、马铃薯五个品种先后通过了农业部无公害农产品认证。产品上市以来，深受国内大中城市消费者喜爱，产品一直供不应求。 　　为解决社员生产中的资金难题，天意合作社联合农村信用社、农行对社员进行授信，并由合作社作担保，平均每位成员可贷款8万元，为资金困难的社员彻底解决了资金难题。 　　被中华合作时报社、中国合作经济杂志社、中国人民大学农业与农村发展学院、中国人民大学合作社研究院评选为“08年度中国最具影响力合作社产品品牌”，全国仅有20个品牌入选。总经理杨华被评为安徽省百名优秀村党支部书记、省百名农村经纪人、亳州市劳动模范、省人大代表、市人大代表、区人大常委委员、致富带头人、先进工作者等荣誉。 　　由于天意合作社在蔬菜种植和带动农户致富方面取得了良好成绩，多次受到省、市、区各级政府的表彰和鼓励；2007年被安徽省农委定为“安徽省示范社会团体”；2008年合作社马铃薯生产基地被农业部评为“全国50家马铃薯高产攻关示范点之一”。2009年“天意”牌蔬菜商标。 　　亳州市、谯城区农业主管部门多次在合作社蔬菜生产基地召开现场会，号召全市各县、区、乡镇农业负责人到天意合作社参观学习蔬菜生产。  　　2006年至今，中国农科院农业专家胡定环博士、国务院发展研究中心三农问题专家、中国人民大学农业与农村发展学院院长温铁军教授、中国人民大学农业与农村发展学院副院长党组书记孔祥智教授先后到天意合作社考察，对合作社+公司+农户的发展模式给予了充分肯定。  　　2007年秋，省委书记郭金龙、省委副书记王明方在市委书记方春明、区委书记汪一光的陪同下先后到合作社指导工作，就农业生产情况召开了座谈会，听了天意合作社社长杨华同志的汇报非常赞赏，对合作社取得的成绩给予了表扬。 　　天意合作社的办社宗旨和目标是：让菜农成为员工，让温室成为车间，为当地新农村建设做出应有的贡献；在做好蔬菜生产的同时联合国内外优秀育种单位和生鲜蔬菜连锁超市进行从种到销的产业链布局，从而带动整个蔬菜产业的可持续发展。","",""
"保山野猪","http://www.baike.com/wiki/保山野猪","http://www.huimg.cn/entry/images/summary_default270x233.png","养殖业##农业","保山野猪为亚洲野猪的一个亚种,驯养时间为1987年初,因在云南省保山市大规模驯养养殖而得名.  保山野猪外表特征及生活习性/保山野猪 编辑 			 		　　保山野猪耳较尖,体型较其他种野猪稍小,体态匀称,头部呈三角状,体重一般为120千克.毛较少但坚硬,颈部鬃毛直立.全身毛色为黄褐色.四肢较短但粗壮有力.熊性保山野猪有8-10厘米的獠牙.保山野猪生性凶猛易怒,且群养同性猪容易打斗,一般为单头圈养,围栏要坚固且高度应不低于1.6米,以防野猪越栏伤人.  养殖保山野猪注意事项/保山野猪 编辑 			 		　　1.因保山野猪是国家二级保护动物,驯养需要到当地林业局办理国家野生保护动物驯养证和销售证. 　　2.保山野猪好动,圈养时单个猪圈平方面积应不少于4平方米.野猪圈舍最好选在地势较高的地方，容易排水，便于采光和通风。原有的家猪圈舍稍加改造也可进行饲养。新建圈舍外窝室要求水泥铺地。圈舍要求里窝室与外窝室配套。 　　3.保山野猪吻部有力,容易破坏猪舍而逃跑,猪舍应坚固且经常检查.  保山野猪饲料与繁殖/保山野猪 编辑 			 		　　种公猪的饲养管理：饲料配方：玉米30％、豆粕15％、鱼粉5％、麸皮15％、米糠5％、多汁饲料天。种母猪的饲养管理：饲料配方：玉米30％、米糠27％、豆粕10％、豆粉3％、粗糠10％、多汁料20％，另加食盐0.4％。根据母猪的妊娠期、哺乳期、空怀期、体形大小、膘情和季节等情况，可适当调整饲料配方，日喂4次，自由饮水。防治疫病：定期预防接种，仔猪生后20天口服副伤寒苗，25～30天注射猪瘟菌苗；断奶猪7天内在射三联苗，20天注链球菌苗，20～25天注伪狂犬苗，30天注猪瘟苗，5～6月份注乙脑苗，母猪配种前注细小病毒苗、伪狂犬苗、链球菌苗、猪三联苗，种公猪每年春秋各注1次母猪注用的疫苗。 　　在特种野猪生产中，从理论上讲，有正交和反交两种，即纯种保山野猪的公猪×杜洛克猪的母猪（正交）；杜洛克猪的公猪×保山野猪的母猪（反交）。在特种野猪生产中，必须采用正交模式。  　　选用纯种保山野猪的公猪×杜洛克猪的母猪，所产的杂种野猪，含双亲血统各50％。  　　选用纯种保山野猪的公猪×野杜特种野猪的母猪（F1），所产的杂种野猪，含父本猪血统75％。  　　选用纯种保山野猪的公猪×特种野猪的母猪（F2），所产的特种保山野猪，含父本猪血统82.5，上述三种方法所产的杂交猪，统称为特种保山野猪。根据生产实际情况，进行严格选种，科学选配，可采用第二或第三种模式进行横交繁殖，定向培育，提纯复壮，稳定遗传性能.","",""
"八斑鞘蛛","http://www.baike.com/wiki/八斑鞘蛛","http://a4.att.hudong.com/74/37/01300001024098130191376637041_s.jpg","农业##害虫##生物##自然##蜘蛛","雌蛛体长2-3毫米，雄蛛体长2毫米。分布于湖北、湖南、四川、江苏、浙江、云南、西藏、广东、台湾、山东、山西、陕西、安徽、江西、福建、台湾、广西、贵州 。","中文学名：##：##界：##纲：##目：##科：##属：##分布：","八斑鞘蛛##Coleosoma octomaculatum (Boes. et Str., 1906)##动物界##蛛形纲##蛛形目##球蛛科##鞘蛛属##湖北、湖南、四川、江苏、浙江、云南、西藏、广东、台湾、山东、山西、陕西、安徽、江西、福建、台湾、广西、贵州"
"CABI数据库","http://www.baike.com/wiki/CABI数据库","http://www.huimg.cn/entry/images/summary_default270x233.png","农业##生物科学","美国著名的学术数据库出版商银盘信息公司（SilverPlatter）推出的农业数据库，CABI数据库即：国际农业与生物科学中心（Center for Agriculture and Bioscience International，简称CABI）数据库，收录了世界上130多个国家和地区的14000种期刊、专题报告、图书、会议文献等文献类型，报道的内容覆盖农艺学、生物技术、植物保护、乳品科学、经济、环境退化与修复、遗传、休闲、娱乐和观光事业、微生物、营养、寄生虫学、农村发展、畜牧兽医等农业及广义农业相关的主题。","",""
"八突艾蛛","http://www.baike.com/wiki/八突艾蛛","http://a4.att.hudong.com/67/87/01300001024098130079874403325_s.jpg","农业##害虫##生物##自然##蜘蛛目","雌蛛体长10～14毫米。雄蛛体长、7－8毫米。背甲黑褐色，被白色细毛，头部稍隆起。中窝半圆形，颈沟、放射沟明显。喜在山林、果树、农作物及稻田间布圆网，网上有一丝带，将猎物残骸、枯枝落计、卵囊缠缚，蜘蛛居带中央、不易察见。遇惊扰时，即掉落地上，卷伏不动。","中文学名：##：##界：##纲：##目：##科：##属：##分布：","八突艾蛛##Cyclosa octotuberculata Karseh, 1879##动物界##蛛形纲##蛛形目##园蛛科##艾蛛属##四川，吉林、辽宁、甘肃、陕西、河南、上海、浙江、湖北，湖南，台湾、广东、贵州"
